
1664701040.dat<>神「国を一つ滅ぼしてやる。どの国か選べ。」→なんて答える？  [633829778] (180)
1664697288.dat<>吉野家、牛丼並盛が448円に  [402859164] (111)
1664703553.dat<>青木理氏、身長１８３センチと告白  [955949967] (25)
1664705607.dat<>(ヽ´ん`)「乗客にケンモメンはいませんでした」&#8678;嬉しそうな理由  [314889747] (4)
1664702465.dat<>太田光「マンションで信者になった子供を長時間説得！この保護・説得は不味いよねって話ですよ。」(´・ω・`)？？？  [584964303] (132)
1664699417.dat<>【緊急】水星ガンダム、濃厚な百合展開発覚で禍根を残してしまう…萌え豚「こういうのを待ってた」ガノタ「これはガンダムではない」  [738324433] (85)
1664705508.dat<>【自作PC】12万円の高級CPU Ryzenを手に入れた俺氏 驚異の結果に打ちひしがれる  [743999204] (16)
1664703786.dat<>【正論】産経新聞「自分の親が死んで葬式をしている時、玄関先で大騒ぎされたら遺族はどんな気持ちか」  [802034645] (263)
1664696012.dat<>中2の息子が全然勉強しないんだが勉強しないと将来こうなるぞって底辺を見せたい 何を見せればいい？  [828957435] (249)
1664704486.dat<>【悲報】大量発生したプーアノンの正体、嫌儲に紛れ込んだネトウヨだったｗｗｗｗｗｗｗｗｗｗｗｗ  [308389511] (92)
1664691589.dat<>【朗報】Q.「日本で戦争が起きたらどうしますか？」若者「戦わないっすよ。植民地になってもいい」  [237216734] (617)
1664705067.dat<>俺「味噌汁つくってみるか」レシピ「昆布を用意します」俺は料理を諦めた  [289416686] (42)
1664682700.dat<>【画像】トム・ハンクス(66)、すっかり後期高齢者の爺さんみたいになる  [738130642] (132)
1664689879.dat<>【悲報】iPhone14、全く売れない、さっそく無条件で２万2000円引き  [137726649] (448)
1664705486.dat<>お前ら明日仕事なの？ワイは会社辞めたから自由だ&#128518;  [297142216] (12)
1664701449.dat<>前走ってたら「あ、車間距離空けとこ。」ってなる車ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ  [633829778] (274)
1664702353.dat<>【悲報】コロナ、完全に終わる  [963243619] (336)
1664705526.dat<>【悲報】野球の審判、うっかりトイレの審判も行ってしまい逮捕されてしまう  [807233202] (8)
1664686538.dat<>ヤクルト・村上、逃走www&#12288;三冠王のためスタメンを外れる&#12288;56号は断念www  [492515557] (368)
1664526245.dat<>【正論】高市早苗大臣「統一教会の関連団体が全て悪なのか？信者さんが可哀想だ、差別や嫌がらせを受けてるかもしれない」  [633829778] (877)
1664677871.dat<>【速報】ホモのタクヤさん、生きていた！出会い系で確認される  [712093522] (38)
1664703562.dat<>「お国のために死ねる？」安倍晋三「………&#129300;⇒△&#128513;」  [115031854] (38)
1664701483.dat<>こういう築古の激安マンションをリフォームして住むのってどうなん&#128513;  [805238285] (18)
1664704528.dat<>日本は金利上昇を見据えた財政再建が必要。大減税策発表を機に通貨・国債・株の急落に見舞われた英国は「対岸の火事」ではない  [718158981] (34)
1664665011.dat<>【画像】現在のアジア情勢が一目でわかるイラスト  [632966346] (434)
1664677706.dat<>南米パラグアイ、台湾にお友達料10億ドルを請求。断れば国交断絶して中国につく模様  [624898991] (66)
1664700672.dat<>有名経済学者「あのさぁ!人口減少と高齢化が酷すぎるんだからさ、消費税は60%要るに決まってんだろ&#128545;」  [843829833] (142)
1664669913.dat<>発達障害｢１３時に集合？じゃあ１３時に集合だ！｣これ、ハッショの特徴らしいねwww  [814293273] (55)
1664674662.dat<>【訃報】日本の天文学、終わる 国立天文台が資金難でポスドク雇用できず クラウドファンディングで資金調達へ  [206389542] (686)
1664634991.dat<>すずめ観測所  [892297506] (40)
1664700023.dat<>【悲報】うみもぐちゃん、ついに飽きられる…  [338391165] (209)
1664695926.dat<>なぜサッカー選手はワザとらしく転んで痛いアピールをするのか。カッコ悪いだけだろ  [472617201] (109)
1664616353.dat<>ペットショップ｢キンタマを失う代わりに一生、飯と住みかに困らないボタン、押す？｣猫｢……｣  [153490809] (165)
1664627238.dat<>【嫌儲メタル部】デス/ブラックメタルを聞かない奴って人として”浅はか”だよな  [637025811] (92)
1664702431.dat<>「年取ると油ギトギトの肉が食えない」って言われてるけど本当？  [375779753] (132)
1664705003.dat<>【悲報】「SPYxFAMILY」2期のOPとEDがガチのマジで微妙すぎる…髭男と星野源を帰して！  [303184969] (27)
1664663380.dat<>「発注ミスしました！助けてください」顧客の同情を誘う「発注ミスPOP」、本当にミスしているのか…？（  [402859164] (194)
1664687522.dat<>太田光「じゃあヤクザみたいな奴を好きになっちゃったらどうするんですか？あんな奴と付き合うなって言ったって聞かないでしょ！」  [584964303] (934)
1664702586.dat<>【愛国者のみなさまへ】北海道の土地、売ります  [147827849] (48)
1664700685.dat<>昔、「死中に活」のことを「シチューにカツ」だと思ってた。蛇足みたいな。  [296617208] (45)
1664699380.dat<>【悲報】ナス、嫌いな野菜第一位にwwwwwwwww  [802034645] (362)
1664628496.dat<>嫌儲原神部  [338391165] (438)
1664703561.dat<>【画像】大人気ホラー漫画「ガンニバル」が実写化  [511335184] (22)
1664705556.dat<>新しいガンダム見て泣いてる&#12288;宇宙オスの加害性は異常&#12288;男なんて必要ない  [492515557] (5)
1664696072.dat<>真夏の夜の淫夢  [323348902] (291)
1664694616.dat<>【悲惨】インドネシアのサッカーで少なくとも174人が死んでいる暴動、きっかけは日本人選手だった  [597533159] (43)
1664627381.dat<>【ラブライブ！】千歌「千歌もスクールアイドルミュージカルに出たいのだ」  [392886456] (314)
